,EFINVA
26744,0
51825,0
87900,0
91150,25
76434,25
7987,0
59788,0
11609,0
9080,50
51559,31000
39234,110000
67643,0
12632,0
140,0
91815,0
688,250
43759,0
49641,1700
26821,0
83209,0
20701,25
67895,0
2163,0
38250,625
3348,1075
79840,0
57804,125
91224,0
14497,125
86380,17500
2948,0
90676,40050
69544,200
80618,0
16946,25
918,0
75018,0
68721,0
46775,0
72051,0
59854,125
38463,400
43846,0
88383,0
32371,0
51721,0
88740,0
12501,0
85279,0
59237,0
81769,425
10263,0
19006,0
77934,0
54779,0
34782,7600
67085,0
65270,125
28399,1275
30264,0
27483,2500
42403,0
22179,675
90948,0
51238,525
44255,18300
30290,-175
30243,0
52401,175
19516,0
75581,0
69695,-2300
42167,20150
55436,175
63259,0
68873,0
29752,0
52927,0
25220,0
20254,0
78183,27050
60210,21000
53159,0
27533,0
32722,50
76937,0
74193,175000
53956,0
29243,0
9324,1750
33705,0
60507,250
81757,50
35655,0
40423,0
2765,0
10153,0
59024,0
69640,0
68149,0
61116,17000
50480,0
75988,0
12317,0
67500,0
25300,3400
26111,2525
39487,0
30494,0
54857,3200
62601,0
40446,0
53075,37000
44219,250
66650,50
12659,100
62488,650
30801,0
51329,0
58776,500
52296,0
37847,0
1731,0
74683,0
82929,0
62294,0
53610,25
50212,0
1261,0
63743,1600
46257,0
21902,0
21651,4900
38358,1800
13875,0
5369,-2550
38067,0
66596,100
49751,0
63387,0
35336,25
23351,625
79848,0
30449,0
77702,100
20979,0
28481,242200
3883,0
46543,0
86158,0
4173,200
32823,175
86539,0
3451,0
37538,0
27920,0
28539,200
64564,0
87504,0
37957,32000
84574,25
74582,25
79855,25
23826,0
35298,0
86390,0
46726,0
31533,0
64156,425
37666,0
49628,0
29210,0
26793,0
5876,0
44028,0
19465,0
71246,0
73190,0
75079,5000
62441,0
17511,175
62810,4900
89270,0
90830,0
57086,0
84595,125
69567,150
50032,575
27874,0
90591,92600
63998,0
11550,15750
83688,0
3015,0
81780,0
27487,0
75307,550
49312,0
24394,0
25929,0
57850,325
91494,-2700
10004,0
86974,0
77747,11800
7046,0
16530,37775
32074,24000
54466,100
32337,-1200
28247,50
33791,0
37713,50
48559,25
31880,0
35094,900
86138,0
55179,86100
76083,0
79374,7150
24317,0
58251,0
66835,0
72874,12000
67029,0
84703,375
31655,50
60905,325
61990,25
23466,225
24669,0
30605,2375
70813,0
80065,0
34351,75
26549,0
56426,25
35373,257500
14178,0
72330,0
64290,0
26423,1200
72095,0
73011,50
4123,0
16075,275
74731,145000
53967,125
58824,-2025
57074,50
41070,0
4226,29000
38891,0
22116,350
33719,0
25307,0
91908,0
23617,2200
38854,31000
39111,6600
6973,31275
11536,0
56284,0
3063,0
5648,0
72554,0
24830,0
37859,0
61831,0
49322,0
4042,0
76566,25
54437,0
14027,1025
73521,60000
34739,3100
25940,0
61630,39000
35376,0
74062,50
25422,0
73442,50
48827,0
3326,475
22977,0
27222,1100
27226,7800
33458,0
23819,16550
33863,0
92123,0
69551,75
42353,125
53330,50
7757,250
10644,0
11104,0
37279,108500
4421,0
41004,50
80082,25
81808,0
47776,0
84623,0
33883,2200
14243,0
42790,0
61700,3200
37592,0
39838,0
91518,1400
89978,0
80360,0
171,0
82719,0
15386,50
20366,0
82433,10000
73118,0
18169,6775
51292,0
88081,0
20647,0
31884,2400
29212,0
42777,0
80714,0
76017,142500
39021,28250
21279,0
88001,6125
13514,0
43641,1550
62321,0
25548,125
2978,0
75037,25000
83669,5750
2443,0
48353,0
53902,0
89488,0
23685,5700
70663,0
54034,0
73635,0
61712,0
64114,0
61257,18850
46859,0
83121,400
43601,0
44323,0
65803,0
34006,625
75127,675
24234,0
22310,0
13915,2400
78433,0
39892,0
17102,11500
16479,0
57660,275
62678,25
43080,1250
5723,0
2867,7000
7548,525
32848,0
15554,-1300
10391,0
70193,67500
1399,75475
38784,0
4839,275
47342,0
9179,-15000
77684,0
3271,0
62475,125
55718,0
9117,0
13472,-13500
9829,0
10579,275
78434,0
66813,0
11848,0
60965,50
15824,0
30130,0
35014,0
14590,0
1348,0
75370,0
33134,0
80488,0
86012,0
57123,175
27876,0
16365,700
36436,0
72794,18000
9205,0
12203,0
2730,4300
73023,400
4758,350
90405,25
33684,1375
57988,62500
51345,400
82534,0
62547,0
58508,0
8662,0
88219,47000
34618,0
64767,0
30585,300
72878,50
36505,600
45341,0
13130,5600
35211,112500
90468,0
51391,0
30445,0
34142,0
41491,100
18659,75
38691,3400
78315,200
43018,8250
87460,0
74686,0
2009,0
53694,2300
52916,25000
65443,20050
87991,0
74189,0
1366,7325
48822,2300
75039,25000
52496,500
88975,0
74697,1200
13986,14500
27854,2025
11709,1325
30341,2500
33566,0
31996,175
34402,6900
59957,135000
30627,0
27019,0
583,0
18098,0
35200,1525
77573,0
14536,0
21249,25
69878,0
52616,0
20380,0
40523,0
41857,0
48055,2400
9707,550
47673,0
46143,275
80920,0
12763,200
79419,4700
36048,25
48182,50
43388,0
64458,1775
30924,0
54630,0
26074,7250
7391,0
14561,325
12732,0
85951,0
52023,25
71574,75
75733,0
2817,0
19648,-225
52450,0
69874,0
57813,0
13864,0
5910,0
39281,0
29376,0
16748,142500
22648,0
69480,0
59947,0
27076,0
65690,0
23427,4000
53976,0
56625,0
70629,0
21469,0
42775,0
59501,50
350,475
49563,25
18385,0
72690,0
29315,0
13724,875
15943,1350
77030,50
17136,3725
67449,0
65477,0
3806,0
73887,0
28289,375
78687,0
18866,0
65389,0
30432,0
32877,0
81340,225
9924,27250
70889,0
42067,4575
78938,225
75252,0
25167,125
66100,0
72631,0
92152,0
7144,50500
24836,0
31417,0
3422,4500
79904,0
71162,16000
4092,3700
4207,2125
63169,0
82810,2525
11514,0
25810,100
31197,0
56338,400
73363,0
57559,0
62078,0
79500,50
39553,50
33764,0
92061,41000
91843,0
66842,0
28320,0
34324,1325
86129,550
16184,25
3282,0
91749,0
16297,0
77155,0
81653,1675
51309,0
57565,15475
68429,0
90513,0
62001,1150
15974,25
81215,0
24861,0
33547,0
83412,575
28865,0
45692,4100
16457,62500
31739,50
83887,1950
78837,115000
19594,0
29157,50
55326,625
29957,22750
3053,0
28553,0
50665,0
5974,0
79952,0
30293,0
56227,475
75877,2800
10714,0
47265,125
62679,25
88378,75000
19652,0
43351,0
79727,0
44650,0
39747,0
5061,0
38591,0
52869,0
25590,26000
1582,1875
77166,0
60324,0
59673,0
66727,0
91190,0
24701,0
4482,800
30673,0
53283,0
82830,400
84330,0
41366,25
47915,0
17878,0
28762,125
70787,400
86455,1100
67570,0
44536,0
87979,0
9816,5250
8922,1100
45644,0
19442,44000
23097,0
67382,0
32486,6500
66724,50
82928,0
26960,-700
6050,0
35204,0
44038,25
88463,3000
64021,175
1584,50
38275,225
4277,4600
79607,0
51843,0
90424,0
35931,1400
77136,46000
62510,0
60241,0
85849,11000
70252,0
39665,0
36730,0
41893,0
12363,5075
2981,12500
31149,0
6515,0
48571,0
49983,0
10645,25
15822,46000
49825,0
35805,0
33850,1050
22551,2200
31026,0
49877,0
53319,0
39384,25
78709,3400
85619,0
22045,0
25015,50
12120,0
69033,0
79037,0
27777,325
30003,0
86532,0
46398,0
21583,0
6198,0
92197,225
66606,125
52210,2600
26934,0
29095,50
67429,0
61614,0
22019,0
35027,100
91981,0
31892,750
35987,3200
55323,2500
89326,0
24431,0
23586,0
50837,1100
22242,0
15384,50
69287,81000
81761,0
38716,925
44947,0
39651,8150
46930,0
7541,0
2621,150
91515,10550
13686,50
53992,0
36551,1000
88943,0
57381,2800
68756,0
1190,-3500
67282,0
3221,0
40328,0
5963,0
39911,0
35472,25
19718,19250
25222,0
43403,0
34314,2100
74408,-4475
76187,77000
8966,0
90267,0
88561,1300
68648,25
19356,0
77056,250
6358,0
71904,81000
51253,0
53601,0
68164,0
42348,0
1938,0
69595,0
9891,50
57225,0
47212,1025
36385,0
5820,0
22430,25
16067,0
12055,0
65182,175
44256,18300
67513,0
28526,8025
10329,50
30938,2125
44695,0
80276,75
68944,0
68029,0
46891,425
73883,100
20865,450
17250,125
10741,975
50611,0
4369,0
36120,0
56846,875
83566,0
55548,50
58925,0
53678,525
80587,0
66507,4725
70896,125
42204,0
82440,0
11421,0
18552,0
72139,3650
21387,0
75432,0
18878,0
56259,5150
20062,0
32133,3600
54016,5850
13161,25
60409,0
51075,0
71014,125
26017,0
61474,0
63283,25
68434,11500
73856,0
51774,375
40259,0
78552,0
74495,25
54372,625
14047,0
41663,725
81154,0
32501,575
85565,0
15779,0
86995,0
92132,0
